comune,tipo_contratto,prezzo,locali,superficie,url_annuncio,data_scraping,zona,macroarea,prezzo_num,superficie_num,locali_num,prezzo_mq,valido
Cantalupo In Sabina,affitto,€ 400/mese,,40 m²,https://www.immobiliare.it/annunci/127191711/,2026-06-09,,Bassa Sabina,400.0,40.0,,,1
Cantalupo In Sabina,affitto,€ 500/mese,4 locali,80 m²,https://www.immobiliare.it/annunci/128850522/,2026-06-09,,Bassa Sabina,500.0,80.0,4.0,,1
Cantalupo In Sabina,vendita,€ 35.000,2 locali,47 m²,https://www.immobiliare.it/annunci/126869277/,2026-06-09,,Bassa Sabina,35000.0,47.0,2.0,744.68,1
Cantalupo In Sabina,vendita,€ 155.000,3 locali,75 m²,https://www.immobiliare.it/annunci/97666822/,2026-06-09,,Bassa Sabina,155000.0,75.0,3.0,2066.67,1
Cantalupo In Sabina,vendita,€ 199.000,5+ locali,600 m²,https://www.immobiliare.it/annunci/123673933/,2026-06-09,,Bassa Sabina,199000.0,600.0,5.0,331.67,0
Cantalupo In Sabina,vendita,€ 85.000,4 locali,150 m²,https://www.immobiliare.it/annunci/121431196/,2026-06-09,,Bassa Sabina,85000.0,150.0,4.0,566.67,1
Cantalupo In Sabina,vendita,€ 95.000,4 locali,105 m²,https://www.immobiliare.it/annunci/127660106/,2026-06-09,,Bassa Sabina,95000.0,105.0,4.0,904.76,1
Cantalupo In Sabina,vendita,"€ 49.000€ 55.000(-10,9%)",,60 m²,https://www.immobiliare.it/annunci/128336298/,2026-06-09,,Bassa Sabina,49000.0,60.0,,816.67,1
Casperia,vendita,€ 90.000,5 locali,100 m²,https://www.immobiliare.it/annunci/129180018/,2026-06-09,,Bassa Sabina,90000.0,100.0,5.0,900.0,1
Casperia,vendita,€ 70.000,4 locali,115 m²,https://www.immobiliare.it/annunci/125527765/,2026-06-09,,Bassa Sabina,70000.0,115.0,4.0,608.7,1
Casperia,vendita,"da € 41.087,00",2 locali,665 m²,https://www.immobiliare.it/annunci/123476751/,2026-06-09,,Bassa Sabina,41087.0,665.0,2.0,61.78,0
Casperia,vendita,€ 119.000,3 locali,150 m²,https://www.immobiliare.it/annunci/124615433/,2026-06-09,,Bassa Sabina,119000.0,150.0,3.0,793.33,1
Casperia,vendita,€ 100.000,2 locali,60 m²,https://www.immobiliare.it/annunci/113855831/,2026-06-09,,Bassa Sabina,100000.0,60.0,2.0,1666.67,1
Casperia,vendita,€ 260.000,4 locali,225 m²,https://www.immobiliare.it/annunci/126224065/,2026-06-09,,Bassa Sabina,260000.0,225.0,4.0,1155.56,1
Casperia,vendita,"da € 41.086,00",5 locali,67 m²,https://www.immobiliare.it/annunci/129126376/,2026-06-09,,Bassa Sabina,41086.0,67.0,5.0,613.22,0
Casperia,vendita,€ 65.000,3 locali,55 m²,https://www.immobiliare.it/annunci/112599951/,2026-06-09,,Bassa Sabina,65000.0,55.0,3.0,1181.82,1
Casperia,vendita,€ 310.000,5+ locali,220 m²,https://www.immobiliare.it/annunci/128115124/,2026-06-09,,Bassa Sabina,310000.0,220.0,5.0,1409.09,1
Casperia,vendita,€ 60.000,2 locali,60 m²,https://www.immobiliare.it/annunci/129644838/,2026-06-09,,Bassa Sabina,60000.0,60.0,2.0,1000.0,1
Casperia,vendita,€ 39.000,3 locali,80 m²,https://www.immobiliare.it/annunci/112634647/,2026-06-09,,Bassa Sabina,39000.0,80.0,3.0,487.5,0
Casperia,vendita,€ 330.000,5+ locali,181 m²,https://www.immobiliare.it/annunci/112963925/,2026-06-09,,Bassa Sabina,330000.0,181.0,5.0,1823.2,1
Casperia,vendita,€ 29.000,4 locali,178 m²,https://www.immobiliare.it/annunci/121642912/,2026-06-09,,Bassa Sabina,29000.0,178.0,4.0,162.92,0
Casperia,vendita,€ 55.000,2 locali,45 m²,https://www.immobiliare.it/annunci/127865796/,2026-06-09,,Bassa Sabina,55000.0,45.0,2.0,1222.22,1
Casperia,vendita,€ 55.000,2 locali,55 m²,https://www.immobiliare.it/annunci/122439764/,2026-06-09,,Bassa Sabina,55000.0,55.0,2.0,1000.0,1
Fara In Sabina,affitto,€ 750/mese,4 locali,91 m²,https://www.immobiliare.it/annunci/128815912/,2026-06-09,,Bassa Sabina,750.0,91.0,4.0,,1
Fara In Sabina,affitto,€ 300/mese,,20 m²,https://www.immobiliare.it/annunci/125200875/,2026-06-09,,Bassa Sabina,300.0,20.0,,,1
Fara In Sabina,affitto,€ 500/mese,3 locali,113 m²,https://www.immobiliare.it/annunci/129459464/,2026-06-09,,Bassa Sabina,500.0,113.0,3.0,,1
Fara In Sabina,affitto,€ 500/mese,2 locali,50 m²,https://www.immobiliare.it/annunci/115593639/,2026-06-09,,Bassa Sabina,500.0,50.0,2.0,,1
Fara In Sabina,affitto,€ 500/mese,2 locali,50 m²,https://www.immobiliare.it/annunci/101040113/,2026-06-09,,Bassa Sabina,500.0,50.0,2.0,,1
Fara In Sabina,affitto,€ 380/mese,,35 m²,https://www.immobiliare.it/annunci/63570512/,2026-06-09,,Bassa Sabina,380.0,35.0,,,1
Fara In Sabina,affitto,€ 600/mese,5 locali,120 m²,https://www.immobiliare.it/annunci/105587667/,2026-06-09,,Bassa Sabina,600.0,120.0,5.0,,1
Fara In Sabina,vendita,€ 115.000,4 locali,122 m²,https://www.immobiliare.it/annunci/124086785/,2026-06-09,,Bassa Sabina,115000.0,122.0,4.0,942.62,1
Fara In Sabina,vendita,€ 55.000,2 locali,65 m²,https://www.immobiliare.it/annunci/129214202/,2026-06-09,,Bassa Sabina,55000.0,65.0,2.0,846.15,1
